Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,21227.380859,21487.240234,20784.429688,20943.509766,20943.509766,506680000
2020-04-02,20819.460938,21477.769531,20735.019531,21413.439453,21413.439453,529540000
2020-04-03,21285.929688,21447.810547,20863.089844,21052.529297,21052.529297,450010000
2020-04-06,21693.630859,22783.449219,21693.630859,22679.990234,22679.990234,610760000
2020-04-07,23537.439453,23617.240234,22634.449219,22653.859375,22653.859375,594660000
2020-04-08,22893.470703,23513.400391,22682.990234,23433.570313,23433.570313,472740000
2020-04-09,23690.660156,24008.990234,23504.089844,23719.369141,23719.369141,566400000
2020-04-13,23698.929688,23698.929688,23095.349609,23390.769531,23390.769531,394320000
2020-04-14,23690.570313,24040.580078,23683.439453,23949.759766,23949.759766,485910000
2020-04-15,23600.720703,23649.720703,23233.320313,23504.349609,23504.349609,437630000
2020-04-16,23543.660156,23598.080078,23211.380859,23537.679688,23537.679688,471050000
2020-04-17,23817.150391,24264.210938,23817.150391,24242.490234,24242.490234,525950000
2020-04-20,24095.099609,24108.689453,23627.189453,23650.439453,23650.439453,423410000
2020-04-21,23365.250000,23365.250000,22941.880859,23018.880859,23018.880859,485140000
2020-04-22,23437.339844,23613.099609,23339.599609,23475.820313,23475.820313,352880000
2020-04-23,23543.089844,23885.359375,23483.349609,23515.259766,23515.259766,389290000
2020-04-24,23628.240234,23826.000000,23417.679688,23775.269531,23775.269531,376020000
2020-04-27,23866.150391,24207.650391,23840.609375,24133.779297,24133.779297,389390000
2020-04-28,24357.169922,24512.240234,24031.199219,24101.550781,24101.550781,400250000
2020-04-29,24490.369141,24764.769531,24453.990234,24633.859375,24633.859375,455290000
2020-04-30,24585.570313,24585.570313,24186.900391,24345.720703,24345.720703,478280000
2020-05-01,24120.779297,24120.779297,23645.300781,23723.689453,23723.689453,418160000
2020-05-04,23581.550781,23769.560547,23361.160156,23749.759766,23749.759766,355360000
2020-05-05,23958.880859,24169.720703,23868.910156,23883.089844,23883.089844,369710000
2020-05-06,23978.880859,24054.589844,23661.140625,23664.640625,23664.640625,377450000
2020-05-07,23837.210938,24094.619141,23834.390625,23875.890625,23875.890625,369890000
2020-05-08,24107.820313,24349.900391,24107.050781,24331.320313,24331.320313,335760000
2020-05-11,24256.449219,24366.210938,24070.220703,24221.990234,24221.990234,352400000
2020-05-12,24292.839844,24382.089844,23761.580078,23764.779297,23764.779297,359480000
2020-05-13,23702.160156,23708.900391,23067.640625,23247.970703,23247.970703,469950000
2020-05-14,23049.060547,23630.859375,22789.619141,23625.339844,23625.339844,472700000
2020-05-15,23454.830078,23730.080078,23354.150391,23685.419922,23685.419922,491510000
2020-05-18,24059.980469,24708.539063,24059.980469,24597.369141,24597.369141,484190000
2020-05-19,24577.480469,24599.500000,24202.960938,24206.859375,24206.859375,374100000
2020-05-20,24455.939453,24649.480469,24455.939453,24575.900391,24575.900391,366510000
2020-05-21,24564.269531,24718.460938,24370.880859,24474.119141,24474.119141,346770000
2020-05-22,24461.980469,24481.640625,24294.070313,24465.160156,24465.160156,255660000
2020-05-26,24781.839844,25176.419922,24781.839844,24995.109375,24995.109375,424380000
2020-05-27,25298.630859,25551.560547,25009.869141,25548.269531,25548.269531,411230000
2020-05-28,25697.359375,25758.789063,25358.730469,25400.640625,25400.640625,377800000
2020-05-29,25324.150391,25482.800781,25031.669922,25383.109375,25383.109375,527620000
2020-06-01,25342.990234,25508.830078,25220.660156,25475.019531,25475.019531,338310000
2020-06-02,25582.519531,25743.130859,25523.740234,25742.650391,25742.650391,352610000
2020-06-03,25906.880859,26337.750000,25906.880859,26269.890625,26269.890625,398790000
2020-06-04,26226.490234,26384.099609,26082.310547,26281.820313,26281.820313,372190000
2020-06-05,26836.800781,27338.300781,26836.800781,27110.980469,27110.980469,542310000
2020-06-08,27232.929688,27580.210938,27232.480469,27572.439453,27572.439453,430200000
2020-06-09,27447.369141,27447.369141,27151.060547,27272.300781,27272.300781,381430000
2020-06-10,27251.890625,27355.220703,26938.050781,26989.990234,26989.990234,448930000
2020-06-11,26282.509766,26294.080078,25082.720703,25128.169922,25128.169922,647780000
2020-06-12,25659.419922,25965.550781,25078.410156,25605.539063,25605.539063,514440000
2020-06-15,25270.390625,25891.580078,24843.179688,25763.160156,25763.160156,461230000
2020-06-16,26326.679688,26611.029297,25811.699219,26289.980469,26289.980469,489500000
2020-06-17,26330.519531,26400.070313,26068.410156,26119.609375,26119.609375,328830000
2020-06-18,26016.449219,26154.199219,25848.529297,26080.099609,26080.099609,328390000
2020-06-19,26213.099609,26451.439453,25759.660156,25871.460938,25871.460938,669390000
2020-06-22,25865.080078,26059.810547,25667.679688,26024.960938,26024.960938,351780000
2020-06-23,26159.390625,26314.970703,26105.970703,26156.099609,26156.099609,389980000
2020-06-24,25992.960938,25992.960938,25296.730469,25445.939453,25445.939453,450120000
2020-06-25,25365.220703,25769.609375,25209.789063,25745.599609,25745.599609,384560000
